scenario,dataset,ensemble_auprc,mln_auprc,pc_like_auprc,mln_delta_vs_ensemble,pc_delta_vs_ensemble,pc_delta_vs_mln,mln_runtime_seconds,pc_like_runtime_seconds,pc_like_speedup_vs_mln,note
Full local-components,OpenAI Mod,0.8081551823721133,0.8193763067902078,0.8193763067902078,0.01122112441809453,0.01122112441809453,0.0,0.3473186492919922,0.051218509674072266,6.781115879828326,"Full datasets, but only Detoxify + ToxicChat-T5 components."
Full local-components,ToxicChat,0.8728400395060156,0.8261528472714276,0.8261528472714276,-0.04668719223458806,-0.04668719223458806,0.0,0.9843108654022217,0.09340739250183105,10.537826172408424,"Full datasets, but only Detoxify + ToxicChat-T5 components."
Full local-components,XSTest,0.8055586227465681,0.8073299153693749,0.8073299153693749,0.0017712926228068415,0.0017712926228068415,0.0,0.10766935348510742,0.031652212142944336,3.4016375537628334,"Full datasets, but only Detoxify + ToxicChat-T5 components."
Full local-components,Overkill,0.7462486869034711,0.7169274257968659,0.7169274257968659,-0.029321261106605268,-0.029321261106605268,0.0,0.11054611206054688,0.03251171112060547,3.400193599483735,"Full datasets, but only Detoxify + ToxicChat-T5 components."
Full local-components,BeaverTails,0.7322521789246508,0.727103785123446,0.727103785123446,-0.005148393801204798,-0.005148393801204798,0.0,0.582770586013794,0.07158398628234863,8.14107478892238,"Full datasets, but only Detoxify + ToxicChat-T5 components."
Full local-components,TwinSafety,0.6012736915210753,0.6090071860703602,0.6090071860703602,0.007733494549284847,0.007733494549284847,0.0,0.08180975914001465,0.03522157669067383,2.322717119068571,"Full datasets, but only Detoxify + ToxicChat-T5 components."
Official-style balanced n64,OpenAI Mod,0.9048205262549506,0.9002773428017755,0.9002773428017755,-0.004543183453175059,-0.004543183453175059,0.0,0.06404614448547363,0.02662181854248047,2.4057764642665234,Balanced n64 subset using OpenAI current API + LlamaGuard-8bit + ToxicChat-T5.
Official-style balanced n64,ToxicChat,0.9670288900075106,0.9523332261471444,0.9523332261471444,-0.014695663860366137,-0.014695663860366137,0.0,0.06839179992675781,0.02918386459350586,2.3434798947764,Balanced n64 subset using OpenAI current API + LlamaGuard-8bit + ToxicChat-T5.
Official-style balanced n64,XSTest,0.9062754641005413,0.9618698629618467,0.9618698629618467,0.05559439886130546,0.05559439886130546,0.0,0.06160855293273926,0.025807619094848633,2.387223428333872,Balanced n64 subset using OpenAI current API + LlamaGuard-8bit + ToxicChat-T5.
Official-style balanced n64,Overkill,0.9627042854016047,0.9782202611397128,0.9782202611397128,0.015515975738108145,0.015515975738108145,0.0,0.06774568557739258,0.030535459518432617,2.2185906695295725,Balanced n64 subset using OpenAI current API + LlamaGuard-8bit + ToxicChat-T5.
Official-style balanced n64,BeaverTails,0.6907147005765808,0.6445922479944655,0.6445922479944655,-0.046122452582115336,-0.046122452582115336,0.0,0.07108426094055176,0.0276491641998291,2.5709370607662394,Balanced n64 subset using OpenAI current API + LlamaGuard-8bit + ToxicChat-T5.
Official-style balanced n64,TwinSafety,0.523721072025433,0.5319984934232156,0.5319984934232156,0.008277421397782536,0.008277421397782536,0.0,0.06989717483520508,0.026589155197143555,2.6287850936578105,Balanced n64 subset using OpenAI current API + LlamaGuard-8bit + ToxicChat-T5.
